Page Id	URL	Name	EntityType	PageViews	subject	miles_work
1101	Gilberto_Gil	Gilberto Gil	agent	31961	musicians	
1631	List_of_funk_musicians	List of funk musicians	Thing	30605	other	
479	Burt_Bacharach	Burt Bacharach	musical artist	385058	musicians	
2121	Ostinato	Ostinato	agent	97107	other	
1947	Moldejazz	Moldejazz	event	2104	events	
3745	Valentine%27s_Day	Valentine's Day	Thing	305721	events	
461	Brian_Wilson_Presents_Smile	Brian Wilson Presents Smile	album	60941	recording	
91	25th_Annual_Grammy_Awards	25th Annual Grammy Awards	award	6966	events	
1593	Level_42	Level 42	Band	94161	musicians	
1812	Mark-Anthony_Turnage	Mark-Anthony Turnage	agent	8481	musicians	
3798	What%27s_Going_On_(Marvin_Gaye_album)	What's Going On (Marvin Gaye album)	Thing	104982	recording	
595	Coleman_Hawkins	Coleman Hawkins	musical artist	37546	musicians	
1995	Mute_(music)	Mute (music)	Cognition100023271	30791	other	
102	43rd_Annual_Grammy_Awards	43rd Annual Grammy Awards	award	13300	events	
618	Congregation_(album)	Congregation (album)	album	5724	recording	
252	At_Fillmore_East	At Fillmore East	album	59412	recording	
2149	Paul%27s_Boutique	Paul's Boutique	Thing	101396	recording	
1635	List_of_Grammy_Hall_of_Fame_Award_recipients_(Q%E2%80%93Z)	List of Grammy Hall of Fame Award recipients (Q–Z)	Thing	4462	other	
1634	List_of_Grammy_Hall_of_Fame_Award_recipients_(J%E2%80%93P)	List of Grammy Hall of Fame Award recipients (J–P)	Thing	5141	other	
1632	List_of_Grammy_Hall_of_Fame_Award_recipients_(A%E2%80%93D)	List of Grammy Hall of Fame Award recipients (A–D)	Thing	9211	other	
1633	List_of_Grammy_Hall_of_Fame_Award_recipients_(E%E2%80%93I)	List of Grammy Hall of Fame Award recipients (E–I)	Thing	4008	other	
101	41st_Annual_Grammy_Awards	41st Annual Grammy Awards	award	11845	events	
1641	List_of_jazz_bassists	List of jazz bassists	Thing	25264	other	
2507	Slapping_(music)	Slapping (music)	Thing	24448	other	
2070	North_Sea_Jazz_Festival	North Sea Jazz Festival	Festival100517728	11388	events	
2298	Quincy_Jones	Quincy Jones	musical artist	817912	musicians	
2027	Neal_Schon	Neal Schon	musical artist	147324	musicians	
3794	Wes_Montgomery	Wes Montgomery	musical artist	84746	musicians	
1319	Jackie_McLean	Jackie McLean	musical artist	23234	musicians	
3986	Woodlawn_Cemetery_(Bronx,_New_York)	Woodlawn Cemetery (Bronx, New York)	historic place	27725	places	
1369	Jazz_rap	Jazz rap	genre	45608	genres	
2064	No_More_Mr._Nice_Guy_(Gang_Starr_album)	No More Mr. Nice Guy (Gang Starr album)	album	18699	recording	
1164	Hard_bop	Hard bop	genre	54729	genres	
1358	Jazz_fusion	Jazz fusion	genre	120897	genres	
1675	List_of_rock_albums	List of rock albums	Thing	8972	other	
2537	Sonny_Fortune	Sonny Fortune	musical artist	4398	musicians	
1337	Jane_Siberry	Jane Siberry	musical artist	22416	musicians	
2372	Robben_Ford	Robben Ford	musical artist	44750	musicians	
768	Don_Cherry_(trumpeter)	Don Cherry (trumpeter)	musical artist	33833	musicians	
577	Cicely_Tyson	Cicely Tyson	agent	543458	people	
2383	Robert_Quine	Robert Quine	musical artist	24984	musicians	
100	3rd_Annual_Grammy_Awards	3rd Annual Grammy Awards	award	4162	events	
1939	Mitch_Mitchell	Mitch Mitchell	musical artist	113601	musicians	
1210	Horace_Silver	Horace Silver	musical artist	64818	musicians	
1980	Music_of_Cuba	Music of Cuba	genre	69117	other	
1066	Gene_Ammons	Gene Ammons	musical artist	14819	musicians	
229	Art_Blakey	Art Blakey	musical artist	59705	musicians	
2539	Sonny_Rollins	Sonny Rollins	musical artist	96338	musicians	
2603	Steven_Van_Zandt	Steven Van Zandt	musical artist	427075	musicians	
1372	Jazz_standard	Jazz standard	genre	52903	genres	
497	Can_(band)	Can (band)	Band	124956	musicians	
1078	George_Elliott_Clarke	George Elliott Clarke	agent	6273	people	
265	Avant-garde_jazz	Avant-garde jazz	genre	34505	genres	
98	36th_Annual_Grammy_Awards	36th Annual Grammy Awards	award	9355	events	
99	39th_Annual_Grammy_Awards	39th Annual Grammy Awards	award	9617	events	
368	Billy_Eckstine	Billy Eckstine	musical artist	40017	musicians	
1828	Mary_Lou_Williams	Mary Lou Williams	musical artist	24203	musicians	
1034	Freddie_Hubbard	Freddie Hubbard	musical artist	46607	musicians	
2185	Philly_Joe_Jones	Philly Joe Jones	musical artist	25551	musicians	
2657	Tadd_Dameron	Tadd Dameron	musical artist	11327	musicians	
360	Bill_Laswell	Bill Laswell	musical artist	29794	musicians	
1471	Jon_Hassell	Jon Hassell	musical artist	10161	musicians	
1858	Miami_Vice	Miami Vice	television show	304078	other	
1929	Milt_Jackson	Milt Jackson	musical artist	23537	musicians	
324	Benny_Carter	Benny Carter	musical artist	20942	musicians	
586	Clark_Terry	Clark Terry	musical artist	59745	musicians	
1334	Jamie_Cullum	Jamie Cullum	musical artist	110621	musicians	
1476	Jonny_Greenwood	Jonny Greenwood	musical artist	130481	musicians	
2119	Oscar_Pettiford	Oscar Pettiford	musical artist	11083	musicians	
465	Brock_Peters	Brock Peters	agent	90467	people	
2365	Ring_modulation	Ring modulation	agent	25597	genres	
266	Avant-garde_music	Avant-garde music	genre	69707	genres	
632	Cool_jazz	Cool jazz	genre	57909	genres	
2026	Neal_Hefti	Neal Hefti	musical artist	17969	musicians	
1565	Latin_jazz	Latin jazz	genre	27490	genres	
2487	Shooby_Taylor	Shooby Taylor	musical artist	3798	musicians	
807	Duane_Allman	Duane Allman	musical artist	218982	musicians	
838	Eddie_Vinson	Eddie Vinson	musical artist	6049	musicians	
911	Fear_of_a_Black_Planet	Fear of a Black Planet	album	61941	recording	
1228	Hypocrisy_Is_the_Greatest_Luxury	Hypocrisy Is the Greatest Luxury	Album	3262	recording	
1985	Music_of_New_York_City	Music of New York City	Thing	25848	recording	
1982	Music_of_Illinois	Music of Illinois	Thing	12494	other	
1430	Joe_Zawinul	Joe Zawinul	musical artist	40680	musicians	
1986	Music_of_Ohio	Music of Ohio	Thing	27143	other	
1984	Music_of_Missouri	Music of Missouri	Thing	4478	other	
1087	Gerry_Mulligan	Gerry Mulligan	musical artist	48432	musicians	
549	Chet_Baker	Chet Baker	musical artist	221384	musicians	
1754	Louis_Malle	Louis Malle	agent	98904	people	
232	Art_Farmer	Art Farmer	musical artist	14190	musicians	
1162	Hank_Mobley	Hank Mobley	musical artist	25243	musicians	
1452	John_Lewis_(pianist)	John Lewis (pianist)	musical artist	15217	musicians	
3767	Wah-wah_pedal	Wah-wah pedal	DefiniteQuantity113576101	39268	other	
2409	Roy_Harper	Roy Harper	musical artist	89827	musicians	
1628	List_of_film_score_composers	List of film score composers	Thing	20671	other	
2442	Schizophrenia_(Wayne_Shorter_album)	Schizophrenia (Wayne Shorter album)	Album	4678	recording	
803	Drug_user	Drug user	Thing	5189	other	
1830	Mat_Walerian	Mat Walerian	musical artist	1024	musicians	
1094	Giants_Stadium	Giants Stadium	stadium	114043	places	
2078	Nu_jazz	Nu jazz	genre	42574	genres	
371	Billy_Preston	Billy Preston	musical artist	175968	musicians	
2542	Sonny_Sharrock	Sonny Sharrock	musical artist	12411	musicians	
1077	George_Duke	George Duke	musical artist	65094	musicians	
1662	List_of_people_from_Illinois	List of people from Illinois	Thing	47762	other	
