Page Id	URL	Name	Type Attr	Value
page-781	Double_bass	Double bass	dct:subject	dbc:Double_basses
page-781	Double_bass	Double bass	dct:subject	dbc:String_instruments
page-1005	Flugelhorn	Flugelhorn	dct:subject	dbc:B-flat_instruments
page-1005	Flugelhorn	Flugelhorn	dct:subject	dbc:Brass_instruments
page-1050	Funk	Funk	dct:subject	dbc:1960s_in_music
page-1050	Funk	Funk	dct:subject	dbc:1970s_in_music
page-1050	Funk	Funk	dct:subject	dbc:Funk
page-984	Film_noir	Film noir	dct:subject	dbc:Film_noir
page-984	Film_noir	Film noir	dct:subject	dbc:Film_styles
page-984	Film_noir	Film noir	dct:subject	dbc:History_of_film
page-984	Film_noir	Film noir	is dbp:subject of	dbr:Guards!_Guards!
page-1042	French_horn	French horn	dct:subject	dbc:Brass_instruments
page-1042	French_horn	French horn	dct:subject	dbc:F_instruments
page-1042	French_horn	French horn	dct:subject	dbc:German_musical_instruments
page-1042	French_horn	French horn	dct:subject	dbc:Horns
page-1073	George_Benson	George Benson	dct:subject	dbc:1943_births
page-1073	George_Benson	George Benson	dct:subject	dbc:African-American_guitarists
page-1073	George_Benson	George Benson	dct:subject	dbc:African-American_jazz_guitarists
page-1073	George_Benson	George Benson	dct:subject	dbc:African-American_singers
page-1073	George_Benson	George Benson	dct:subject	dbc:American_Jehovah's_Witnesses
page-1073	George_Benson	George Benson	dct:subject	dbc:American_jazz_guitarists
page-1073	George_Benson	George Benson	dct:subject	dbc:American_jazz_singers
page-1073	George_Benson	George Benson	dct:subject	dbc:American_male_composers
page-1073	George_Benson	George Benson	dct:subject	dbc:American_male_singer-songwriters
page-1073	George_Benson	George Benson	dct:subject	dbc:American_singer-songwriters
page-1073	George_Benson	George Benson	dct:subject	dbc:American_songwriters
page-1073	George_Benson	George Benson	dct:subject	dbc:Columbia_Records_artists
page-1073	George_Benson	George Benson	dct:subject	dbc:Concord_Records_artists
page-1073	George_Benson	George Benson	dct:subject	dbc:GRP_Records_artists
page-1073	George_Benson	George Benson	dct:subject	dbc:Grammy_Award_winners
page-1073	George_Benson	George Benson	dct:subject	dbc:Groove_Records_artists
page-1073	George_Benson	George Benson	dct:subject	dbc:Lead_guitarists
page-1073	George_Benson	George Benson	dct:subject	dbc:Living_people
page-1073	George_Benson	George Benson	dct:subject	dbc:Musicians_from_Phoenix,_Arizona
page-1073	George_Benson	George Benson	dct:subject	dbc:Musicians_from_Pittsburgh,_Pennsylvania
page-1073	George_Benson	George Benson	dct:subject	dbc:Prestige_Records_artists
page-1073	George_Benson	George Benson	dct:subject	dbc:Schenley_High_School_alumni
page-1073	George_Benson	George Benson	dct:subject	dbc:Singers_from_Pennsylvania
page-1073	George_Benson	George Benson	dct:subject	dbc:Smooth_jazz_guitarists
page-1073	George_Benson	George Benson	dct:subject	dbc:Verve_Records_artists
page-1073	George_Benson	George Benson	dct:subject	dbc:Warner_Bros._Records_artists
page-1141	Greenwich_Village	Greenwich Village	dct:subject	dbc:Arts_districts
page-1141	Greenwich_Village	Greenwich Village	dct:subject	dbc:Beat_Generation
page-1141	Greenwich_Village	Greenwich Village	dct:subject	dbc:Broadway_(Manhattan)
page-1141	Greenwich_Village	Greenwich Village	dct:subject	dbc:Counterculture_of_the_1960s
page-1141	Greenwich_Village	Greenwich Village	dct:subject	dbc:Gay_villages_in_New_York
page-1141	Greenwich_Village	Greenwich Village	dct:subject	dbc:Greenwich_Village
page-1141	Greenwich_Village	Greenwich Village	dct:subject	dbc:Historic_districts_in_Manhattan
page-1141	Greenwich_Village	Greenwich Village	dct:subject	dbc:LGBT_culture_in_New_York_City
